id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,"total_eve_minutes","total_eve_calls",total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
1,"KS",128,"area_code_415",0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,0
"2","OH",107,"area_code_415",0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0
"3","NJ",137,"area_code_415",0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0
"4","OH",84,"area_code_408",1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0
"5","OK",75,"area_code_415",1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0
"6","AL",118,"area_code_510",1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0
"7","MA",121,"area_code_510",0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0
"8","MO",147,"area_code_415",1,0,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0
"9","LA",117,"area_code_408",0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0
"10","WV",141,"area_code_415",1,1,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0
"11","IN",65,"area_code_415",0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1
"12","RI",74,"area_code_415",0,0,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,0
"13","IA",168,"area_code_408",0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0
"14","MT",95,"area_code_510",0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0
"15","IA",62,"area_code_415",0,0,0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,0
"16","NY",161,"area_code_415",0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1
